nume_actiune,timestamp
sortareProduse,2024-05-24 19:59:42.3308355
afisareProduse,2024-05-24 19:59:42.3318371
numarareProduse,2024-05-24 19:59:42.3328366
cautareProdusCategorie,2024-05-24 19:59:42.3338341
cautareProdusNume,2024-05-24 19:59:42.3338341
adaugareProdus,2024-05-24 20:01:31.201921
adaugareProdus,2024-05-24 20:01:31.213923
adaugareProdus,2024-05-24 20:01:31.2149326
adaugareProdus,2024-05-24 20:01:31.2149326
adaugareProdus,2024-05-24 20:01:31.2159256
stergereProdus,2024-05-24 20:01:31.2259231
sortareProduse,2024-05-24 20:01:31.2289233
afisareProduse,2024-05-24 20:01:31.2289233
numarareProduse,2024-05-24 20:01:31.2299261
cautareProdusCategorie,2024-05-24 20:01:31.2309237
cautareProdusNume,2024-05-24 20:01:31.2319237
adaugareProdus,2024-05-24 20:09:12.2915137
adaugareProdus,2024-05-24 20:09:12.3025158
adaugareProdus,2024-05-24 20:09:12.3035192
adaugareProdus,2024-05-24 20:09:12.3055151
adaugareProdus,2024-05-24 20:09:12.3075299
stergereProdus,2024-05-24 20:09:12.3155192
sortareProduse,2024-05-24 20:09:12.3175197
afisareProduse,2024-05-24 20:09:12.318517
numarareProduse,2024-05-24 20:09:12.318517
cautareProdusCategorie,2024-05-24 20:09:12.3195194
cautareProdusNume,2024-05-24 20:09:12.3205157
adaugareProdus,2024-05-24 20:11:23.56865
adaugareProdus,2024-05-24 20:11:23.5816523
adaugareProdus,2024-05-24 20:11:23.5826514
adaugareProdus,2024-05-24 20:11:23.5826514
adaugareProdus,2024-05-24 20:11:23.5836517
stergereProdus,2024-05-24 20:11:23.5896589
sortareProduse,2024-05-24 20:11:23.5906542
afisareProduse,2024-05-24 20:11:23.5906542
numarareProduse,2024-05-24 20:11:23.5916521
cautareProdusCategorie,2024-05-24 20:11:23.5966494
cautareProdusNume,2024-05-24 20:11:23.5986609
adaugareProdus,2024-05-24 20:11:57.8238449
adaugareProdus,2024-05-24 20:11:57.8348454
adaugareProdus,2024-05-24 20:11:57.8358499
adaugareProdus,2024-05-24 20:11:57.8368416
adaugareProdus,2024-05-24 20:11:57.8368416
stergereProdus,2024-05-24 20:11:57.8428413
sortareProduse,2024-05-24 20:11:57.8438444
afisareProduse,2024-05-24 20:11:57.8468567
numarareProduse,2024-05-24 20:11:57.8478475
cautareProdusCategorie,2024-05-24 20:11:57.8508416
cautareProdusNume,2024-05-24 20:11:57.8528414
adaugareProdus,2024-05-24 20:13:57.126828
adaugareProdus,2024-05-24 20:13:57.1378263
adaugareProdus,2024-05-24 20:13:57.1388274
adaugareProdus,2024-05-24 20:13:57.1398242
adaugareProdus,2024-05-24 20:13:57.1398242
stergereProdus,2024-05-24 20:13:57.1458305
sortareProduse,2024-05-24 20:13:57.1478262
afisareProduse,2024-05-24 20:13:57.1488243
numarareProduse,2024-05-24 20:13:57.1488243
cautareProdusCategorie,2024-05-24 20:13:57.1498239
cautareProdusNume,2024-05-24 20:13:57.1508254
adaugareProdus,2024-05-25 13:33:25.2801511
adaugareProdus,2024-05-25 13:33:25.2901502
adaugareProdus,2024-05-25 13:33:25.2911537
adaugareProdus,2024-05-25 13:33:25.2911537
adaugareProdus,2024-05-25 13:33:25.2921531
stergereProdus,2024-05-25 13:33:25.3021535
sortareProduse,2024-05-25 13:33:25.3041539
afisareProduse,2024-05-25 13:33:25.3041539
numarareProduse,2024-05-25 13:33:25.3051541
cautareProdusCategorie,2024-05-25 13:33:25.3061527
cautareProdusNume,2024-05-25 13:33:25.3061527
adaugareProdus,2024-05-25 13:57:18.6490697
adaugareProdus,2024-05-25 13:57:18.6620715
adaugareProdus,2024-05-25 13:57:18.6620715
adaugareProdus,2024-05-25 13:57:18.6630639
adaugareProdus,2024-05-25 13:57:18.6640652
stergereProdus,2024-05-25 13:57:18.6720658
sortareProduse,2024-05-25 13:57:18.6750637
afisareProduse,2024-05-25 13:57:18.6760629
numarareProduse,2024-05-25 13:57:18.6760629
cautareProdusCategorie,2024-05-25 13:57:18.6770613
cautareProdusNume,2024-05-25 13:57:18.6780651
adaugareProdus,2024-05-25 14:03:03.5003355
adaugareProdus,2024-05-25 14:03:03.5323444
adaugareProdus,2024-05-25 14:03:03.5343419
adaugareProdus,2024-05-25 14:03:03.6283539
adaugareProdus,2024-05-25 14:03:03.6503409
stergereProdus,2024-05-25 14:03:03.6583427
sortareProduse,2024-05-25 14:03:03.6613373
afisareProduse,2024-05-25 14:03:03.6673398
numarareProduse,2024-05-25 14:03:03.67434
